iso15924,iso_number,name_en,name_fr,native_name,type,direction,first_use,last_use,status,parent,edge,origin,unicode_version,unicode_block_start,codepoints,specimen,specimen_font,glyph_missing_reason
Sgnw,095,SignWriting,"SignÉcriture, SignWriting",M547x535S10019454x474S10011478x465S2ea04483x501S2ea48461x509S29b0b514x500S15a0a511x471S1eb20523x486,featural,ttb,1974,present,living,Latn,stimulus,Egyp,8.0,U+1D800,672,𝠀𝠁𝠂𝠃𝠄𝠅,NotoSansSignWriting,
Shaw,281,Shavian (Shaw),shavien (Shaw),𐑖𐑱𐑝𐑾𐑯,alphabet,ltr,1960,present,constructed,Latn,stimulus,Egyp,4.0,U+10450,48,𐑐𐑑𐑒𐑓𐑔𐑕,NotoSansShavian,
Shrd,319,"Sharada, Śāradā","charada, shard",𑆯𑆳𑆫𑆢𑆳,abugida,ltr,800,1900,historical,Brah,attested,Egyp,6.1,U+11180,104,𑆃𑆄𑆅𑆆𑆇𑆈,NotoSansSharada,
Shui,530,Shuishu,shuishu,,logographic,rtl,1400,present,living,Hani,stimulus,Hani,not encoded,,0,,,not encoded in Unicode
Sidd,302,"Siddham, Siddhaṃ, Siddhamātṛkā",siddham,𑖭𑖰𑖟𑖿𑖠𑖽,abugida,ltr,550,1200,historical,Brah,attested,Egyp,7.0,U+11580,92,𑖀𑖁𑖂𑖃𑖄𑖅,NotoSansSiddham,
Sidt,180,Sidetic,sidétique,,alphabet,ltr,-500,-300,historical,Grek,attested,Egyp,not encoded,,0,,,not encoded in Unicode
Sind,318,"Khudawadi, Sindhi","khoudawadî, sindhî",खुदाबादी,abugida,ltr,1550,present,historical,Shrd,attested,Egyp,7.0,U+112B0,69,𑊰𑊱𑊲𑊳𑊴𑊵,NotoSansKhudawadi,
Sinh,348,Sinhala,singhalais,සිංහල අක්ෂර මාලාව,abugida,ltr,-200,present,living,Brah,attested,Egyp,3.0,U+0D81,111,අආඇකඛග,NotoSansSinhala,
Sogd,141,Sogdian,sogdien,𐼼𐼇𐼄𐼌𐼊𐼋,abjad,varies,400,1000,historical,Sogo,attested,Egyp,11.0,U+10F30,42,𐼰𐼱𐼲𐼳𐼴𐼵,NotoSansSogdian,
Sogo,142,Old Sogdian,ancien sogdien,,abjad,rtl,-100,400,historical,Armi,attested,Egyp,11.0,U+10F00,40,𐼀𐼁𐼂𐼃𐼄𐼅,NotoSansOldSogdian,
Sora,398,Sora Sompeng,sora sompeng,𑃐𑃦𑃝𑃗 𑃐𑃦𑃖𑃛𑃣𑃗,alphabet,ltr,1936,present,living,Latn,stimulus,Egyp,6.1,U+110D0,35,𑃐𑃑𑃒𑃓𑃔𑃕,NotoSansSoraSompeng,
Soyo,329,Soyombo,soyombo,𑪞𑪞,abugida,ltr,1686,1800,historical,Ranj,attested,Egyp,10.0,U+11A50,83,𑩐𑩜𑩝𑩞𑩟𑩠,NotoSansSoyombo,
Sund,362,Sundanese,sundanais,ᮃᮊ᮪ᮞᮛ ᮞᮥᮔ᮪ᮓ,abugida,ltr,1400,present,living,Kawi,attested,Egyp,5.1,U+1B80,72,ᮃᮄᮅᮆᮇᮈ,NotoSansSundanese,
Sunu,274,Sunuwar,sunuwar,𑯆𑯑𑯃̃𑯌 𑯎𑯄𑯂𑯒𑯂,abugida,ltr,1942,present,living,Latn,stimulus,Egyp,16.0,U+11BC0,44,,,"encoded in Unicode 16, no Noto face released"
Sylo,316,Syloti Nagri,sylotî nâgrî,ꠎꠟꠣꠟꠣꠛꠣꠖꠤ ꠢꠞꠚ (Perso-Arabic origin),abugida,ltr,1500,present,living,Kthi,attested,Egyp,4.1,U+A800,45,ꠀꠁꠃꠄꠅꠇ,NotoSansSylotiNagri,
Syrc,135,Syriac,syriaque,ܐܠܦ ܒܝܬ ܣܘܪܝܝܐ,abjad,rtl,100,present,living,Armi,attested,Egyp,3.0,U+0700,88,ܐܒܓܕܖܗ,NotoSansSyriac,
Syre,138,Syriac (Estrangelo variant),syriaque (variante estranghélo),ܐܣܛܪܢܓܠܐ,variant,rtl,100,present,living,Syrc,variant,Egyp,3.0,,0,ܐܒܓܕܗܘ,NotoSansSyriac,
Syrj,137,Syriac (Western variant),syriaque (variante occidentale),ܣܶܪܛܳܐ,variant,rtl,400,present,living,Syrc,variant,Egyp,3.0,,0,ܐܒܓܕܗܘ,NotoSansSyriacWestern,
Syrn,136,Syriac (Eastern variant),syriaque (variante orientale),ܡܲܕ݂ܢܚܵܝܵܐ,variant,rtl,400,present,living,Syrc,variant,Egyp,3.0,,0,ܐܒܓܕܗܘ,NotoSansSyriacEastern,
Tagb,373,Tagbanwa,tagbanoua,ᝦᝪᝯ,abugida,ltr,1300,present,living,Tglg,attested,Egyp,3.2,U+1760,18,ᝠᝡᝢᝣᝤᝥ,NotoSansTagbanwa,
Takr,321,"Takri, Ṭākrī, Ṭāṅkrī",tâkrî,𑚔𑚭𑚊𑚤𑚯,abugida,ltr,1500,present,historical,Shrd,attested,Egyp,6.1,U+11680,68,𑚀𑚁𑚂𑚃𑚄𑚅,NotoSansTakri,
Tale,353,Tai Le,taï-le,,abugida,ltr,1300,present,living,Mymr,attested,Egyp,4.0,U+1950,35,ᥐᥑᥒᥓᥔᥕ,NotoSansTaiLe,
Talu,354,New Tai Lue,nouveau taï-lue,ᦟᦲᧅᦷᦎᦺᦑᦟᦹᧉ,abugida,ltr,1200,present,living,Lana,attested,Egyp,4.1,U+1980,83,ᦀᦁᦂᦃᦄᦅ,NotoSansNewTaiLue,
Taml,346,Tamil,tamoul,தமிழ்,abugida,ltr,700,present,living,Gran,attested,Egyp,1.1,U+0B82,123,அஆஇகஙச,NotoSansTamil,
Tang,520,Tangut,tangoute,𗼇𗟲,logographic,ltr,1036,1500,historical,Hani,stimulus,Hani,9.0,U+16FE0,7059,𖿠𗀀𗀁𗀂𗀃𗀄,NotoSerifTangut,
Tavt,359,Tai Viet,taï viêt,,abugida,ltr,1500,present,living,Lana,attested,Egyp,5.2,U+AA80,72,ꪀꪁꪂꪃꪄꪅ,NotoSansTaiViet,
Tayo,380,Tai Yo,taï yo,,abugida,ltr,1500,present,historical,Lana,attested,Egyp,not encoded,,0,,,not encoded in Unicode
Telu,340,Telugu,télougou,తెలుగు లిపి,abugida,ltr,600,present,living,Brah,attested,Egyp,1.1,U+0C00,101,అఆఇకఖగ,NotoSansTelugu,
Teng,290,Tengwar,tengwar,,alphabet,ltr,1930,present,fictional,Latn,stimulus,Egyp,not encoded,,0,,,not encoded in Unicode
Tfng,120,Tifinagh (Berber),tifinagh (berbère),ⵜⴼⵉⵏⵗ,abjad,varies,-300,present,living,Sarb,contested,Egyp,4.1,U+2D30,59,ⴰⴱⴲⴳⴴⴵ,NotoSansTifinagh,
Tglg,370,"Tagalog (Baybayin, Alibata)","tagal (baybayin, alibata)",ᜊᜌ᜔ᜊᜌᜒᜈ᜔,abugida,ltr,1300,present,revived,Kawi,attested,Egyp,3.2,U+1700,23,ᜀᜁᜂᜃᜄᜅ,NotoSansTagalog,
Thaa,170,Thaana,thâna,ތާނަ,abugida,rtl,1700,present,living,Arab,attested,Egyp,3.0,U+0780,50,ހށނރބޅ,NotoSansThaana,
Thai,352,Thai,thaï,อักษรไทย,abugida,ltr,1283,present,living,Khmr,attested,Egyp,1.1,U+0E01,86,กขฃคฅฆ,NotoSansThai,
Tibt,330,Tibetan,tibétain,བོད་ཡིག་,abugida,ltr,650,present,living,Brah,attested,Egyp,2.0,U+0F00,207,ཀཁགངཅཆ,NotoSerifTibetan,
Tirh,326,Tirhuta,tirhouta,𑒧𑒱𑒟𑒱𑒪𑒰𑒏𑓂𑒭𑒩,abugida,ltr,1100,present,historical,Beng,attested,Egyp,7.0,U+11480,82,𑒀𑒁𑒂𑒃𑒄𑒅,NotoSansTirhuta,
Tnsa,275,Tangsa,tangsa,𖪰𖩵𖪂𖪫𖩸 𖪫𖪏𖪴𖩻𖪇𖪐,alphabet,ltr,1990,present,living,Latn,stimulus,Egyp,14.0,U+16A70,89,𖩰𖩱𖩲𖩳𖩴𖩵,NotoSansTangsa,
Todr,229,Todhri,todhri,,alphabet,ltr,1700,1900,historical,Grek,stimulus,Egyp,16.0,U+105C0,52,,,"encoded in Unicode 16, no Noto face released"
Tols,299,Tolong Siki,tolong siki,𑶻𑶳𑷑𑶳𑷎 𑷔𑶰𑷊𑶰,alphabet,ltr,1980,present,living,Latn,stimulus,Egyp,not encoded,,0,,,not encoded in Unicode
Toto,294,Toto,toto,𞊒𞊪𞊒𞊪 𞊫𞊠𞊐𞊭𞊑𞊦𞊒,abugida,ltr,1936,present,living,Latn,stimulus,Egyp,14.0,U+1E290,31,𞊐𞊑𞊒𞊓𞊔𞊕,NotoSerifToto,
Tutg,341,Tulu-Tigalari,tulu-tigalari,𑎡𑎻𑎭𑎻 𑎭𑎹𑎦𑎹,abugida,ltr,1000,present,historical,Gran,attested,Egyp,16.0,U+11380,80,,,"encoded in Unicode 16, no Noto face released"
Ugar,040,Ugaritic,ougaritique,,abjad,ltr,-1400,-1190,historical,Xsux,stimulus,Pcun,4.0,U+10380,31,𐎀𐎁𐎂𐎃𐎄𐎅,NotoSansUgaritic,
Vaii,470,Vai,vaï,ꕙꔤ,syllabary,ltr,1833,present,living,Latn,stimulus,Egyp,5.1,U+A500,300,ꔀꔁꔂꔃꔄꔅ,NotoSansVai,
Visp,280,Visible Speech,parole visible,,featural,ltr,1867,1900,historical,Latn,stimulus,Egyp,not encoded,,0,,,not encoded in Unicode
Vith,228,Vithkuqi,vithkuqi,,alphabet,ltr,1844,1900,historical,Grek,stimulus,Egyp,14.0,U+10570,70,𐕰𐕱𐕲𐕳𐕴𐕵,NotoSansVithkuqi,
Wara,262,Warang Citi (Varang Kshiti),warang citi,𑢹𑣗𑣁𑣜𑣊 𑣏𑣂𑣕𑣂,alphabet,ltr,1950,present,living,Latn,stimulus,Egyp,7.0,U+118A0,84,𑢠𑢡𑢢𑢣𑢤𑢥,NotoSansWarangCiti,
Wcho,283,Wancho,wantcho,𞋒𞋀𞋉𞋃𞋕 𞋈𞋀𞋜𞋐𞋜,alphabet,ltr,2001,present,living,Latn,stimulus,Egyp,12.0,U+1E2C0,59,𞋀𞋁𞋂𞋃𞋄𞋅,NotoSansWancho,
Wole,480,Woleai,woléaï,,syllabary,ltr,1900,1950,historical,Latn,stimulus,Egyp,not encoded,,0,,,not encoded in Unicode
Xpeo,030,Old Persian,cunéiforme persépolitain,,syllabary,ltr,-525,-330,historical,Xsux,stimulus,Pcun,4.1,U+103A0,50,𐎠𐎡𐎢𐎣𐎤𐎥,NotoSansOldPersian,
Xsux,020,"Cuneiform, Sumero-Akkadian",cunéiforme suméro-akkadien,,logographic,ltr,-2900,75,historical,Pcun,attested,Pcun,5.0,U+12000,1234,𒀀𒀁𒀂𒀃𒀄𒀅,NotoSansCuneiform,
Yezi,192,Yezidi,yézidi,,alphabet,rtl,1400,present,living,Syrc,attested,Egyp,13.0,U+10E80,47,𐺀𐺁𐺂𐺃𐺄𐺅,NotoSerifYezidi,
Yiii,460,Yi,yi,ꆈꌠꁱꂷ,syllabary,ltr,1300,present,living,Hani,contested,Hani,3.0,U+A000,1220,ꀀꀁꀂꀃꀄꀅ,NotoSansYi,
Zanb,339,"Zanabazar Square (Zanabazarin Dörböljin Useg, Xewtee Dörböljin Bicig, Horizontal Square Script)",zanabazar quadratique,𑨢𑨆𑨏𑨳𑨋𑨆𑨬𑨳,abugida,ltr,1686,1800,historical,Tibt,attested,Egyp,10.0,U+11A00,72,𑨀𑨋𑨌𑨍𑨎𑨏,NotoSansZanabazarSquare,
Zsye,993,Symbols (Emoji variant),symboles (variante émoji),絵文字,symbols,ltr,1999,present,living,Latn,composite,Egyp,6.0,,0,☺★☂✈♪⚑,Noto Emoji (Google Fonts subset),
