iso15924,iso_number,name_en,name_fr,native_name,type,direction,first_use,last_use,status,parent,edge,origin,unicode_version,unicode_block_start,codepoints,specimen,specimen_font,glyph_missing_reason
Dogr,328,Dogra,dogra,𑠝𑠢𑠳𑠷 𑠖𑠵𑠌𑠤𑠬 𑠀𑠊𑠹𑠋𑠤,abugida,ltr,1860,present,historical,Takr,attested,Egyp,11.0,U+11800,60,𑠀𑠁𑠂𑠃𑠄𑠅,NotoSerifDogra,
Dsrt,250,Deseret (Mormon),déseret (mormon),𐐔𐐯𐑅𐐨𐑉𐐯𐐻,alphabet,ltr,1854,1877,constructed,Latn,stimulus,Egyp,3.1,U+10400,80,𐐀𐐁𐐂𐐃𐐄𐐅,NotoSansDeseret,
Dupl,755,"Duployan shorthand, Duployan stenography",sténographie Duployé,,alphabet,ltr,1860,present,living,Latn,attested,Egyp,7.0,U+1BC00,143,𛰀𛰁𛰂𛰃𛰄𛰅,NotoSansDuployan,
Egyd,070,Egyptian demotic,démotique égyptien,,logographic,rtl,-650,500,historical,Egyh,attested,Egyp,not encoded,,0,,,not encoded in Unicode
Egyh,060,Egyptian hieratic,hiératique égyptien,,logographic,rtl,-3200,300,historical,Egyp,attested,Egyp,5.2,,0,𓀉𓀊𓀋𓀌𓀍𓀎,NotoSansEgyptianHieroglyphs,
Egyp,050,Egyptian hieroglyphs,hiéroglyphes égyptiens,,logographic,varies,-3250,400,historical,,origin,Egyp,5.2,U+13000,5105,𓀀𓀁𓀂𓀃𓀄𓀅,NotoSansEgyptianHieroglyphs,
Elba,226,Elbasan,elbasan,,alphabet,ltr,1761,1800,historical,Grek,stimulus,Egyp,7.0,U+10500,40,𐔀𐔁𐔂𐔃𐔄𐔅,NotoSansElbasan,
Elym,128,Elymaic,élymaïque,,abjad,rtl,-100,300,historical,Armi,attested,Egyp,12.0,U+10FE0,23,𐿠𐿡𐿢𐿣𐿤𐿥,NotoSansElymaic,
Ethi,430,Ethiopic (Geʻez),"éthiopien (geʻez, guèze)",ግዕዝ,abugida,ltr,-100,present,living,Sarb,attested,Egyp,3.0,U+1200,523,ሀለሐመሠረ,NotoSansEthiopic,
Gara,164,Garay,garay,,alphabet,rtl,1961,present,living,Latn,stimulus,Egyp,16.0,U+10D40,69,,,"encoded in Unicode 16, no Noto face released"
Geok,241,Khutsuri (Asomtavruli and Nuskhuri),khoutsouri (assomtavrouli et nouskhouri),ხუცური,alphabet,ltr,430,1100,historical,Grek,contested,Egyp,1.1,U+10A0,173,ႠႡႢႣႤႥ,NotoSansGeorgian,
Geor,240,Georgian (Mkhedruli and Mtavruli),géorgien (mkhédrouli et mtavrouli),,alphabet,ltr,1000,present,living,Geok,attested,Egyp,1.1,U+10A0,173,აბგდევ,NotoSansGeorgian,
Glag,225,Glagolitic,glagolitique,Ⰽⱛⱃⰺⰾⰾⱁⰲⰺⱌⰰ,alphabet,ltr,863,1900,historical,Grek,attested,Egyp,4.1,U+2C00,134,ⰀⰁⰂⰃⰄⰅ,NotoSansGlagolitic,
Gong,312,Gunjala Gondi,gunjala gondî,గుంజలా గోండి లిపి,abugida,ltr,1750,present,living,Deva,stimulus,Egyp,11.0,U+11D60,63,𑵠𑵡𑵢𑵣𑵤𑵥,NotoSansGunjalaGondi,
Gonm,313,Masaram Gondi,masaram gondî,𑴤𑴫𑴦𑴱𑴤 𑴎𑴽𑵀𑴘𑴳 𑴧𑴲𑴠𑴲,abugida,ltr,1918,present,living,Deva,stimulus,Egyp,10.0,U+11D00,75,𑴀𑴁𑴂𑴃𑴄𑴅,NotoSansMasaramGondi,
Goth,206,Gothic,gotique,,alphabet,ltr,350,900,historical,Grek,attested,Egyp,3.1,U+10330,27,𐌰𐌱𐌲𐌳𐌴𐌵,NotoSansGothic,
Gran,343,Grantha,grantha,𑌗𑍍𑌰𑌨𑍍𑌥𑌲𑌿𑌪𑌿,abugida,ltr,500,present,living,Brah,attested,Egyp,7.0,U+11300,85,𑌅𑌆𑌇𑌈𑌉𑌊,NotoSansGrantha,
Grek,200,Greek,grec,,alphabet,ltr,-800,present,living,Phnx,attested,Egyp,1.1,U+0370,518,ΑΒΓΔΕΖ,NotoSans,
Gujr,320,Gujarati,goudjarâtî (gujrâtî),ગુજરાતી લિપિ,abugida,ltr,1592,present,living,Deva,attested,Egyp,1.1,U+0A81,91,અઆઇકખગ,NotoSansGujarati,
Gukh,397,Gurung Khema,gurung khema,,abugida,ltr,1980,present,living,Latn,stimulus,Egyp,16.0,U+16100,58,,,"encoded in Unicode 16, no Noto face released"
Guru,310,Gurmukhi,gourmoukhî,گرمکھی,abugida,ltr,1539,present,living,Shrd,attested,Egyp,1.1,U+0A01,80,ਅਆਇਕਖਗ,NotoSansGurmukhi,
Hanb,503,Han with Bopomofo (alias for Han + Bopomofo),han avec bopomofo (alias pour han + bopomofo),,composite,varies,1913,present,living,Hani,composite,Hani,1.1,,0,漢字ㄅㄆㄇㄈ,Noto Sans TC (Google Fonts subset),
Hang,286,"Hangul (Hangŭl, Hangeul)","hangûl (hangŭl, hangeul)",언서,featural,varies,1443,present,living,Phag,contested,Egyp,1.1,U+1100,11739,가나다라마바,Noto Sans KR (Google Fonts subset),
Hani,500,"Han (Hanzi, Kanji, Hanja)",idéogrammes han (sinogrammes),,logographic,varies,-1250,present,living,,origin,Hani,1.1,U+2E80,103351,中文字書写語,Noto Sans SC (Google Fonts subset),
Hano,371,Hanunoo (Hanunóo),hanounóo,ᜱᜨᜳᜨᜳᜢ,abugida,ltr,1300,present,living,Tglg,attested,Egyp,3.2,U+1720,21,ᜠᜡᜢᜣᜤᜥ,NotoSansHanunoo,
Hans,501,Han (Simplified variant),idéogrammes han (variante simplifiée),简化字,variant,ltr,1956,present,living,Hani,variant,Hani,1.1,,0,汉字简体中文,Noto Sans SC (Google Fonts subset),
Hant,502,Han (Traditional variant),idéogrammes han (variante traditionnelle),繁體字,variant,varies,-200,present,living,Hani,variant,Hani,1.1,,0,漢字繁體中文,Noto Sans TC (Google Fonts subset),
Hatr,127,Hatran,hatrénien,,abjad,rtl,-100,300,historical,Armi,attested,Egyp,8.0,U+108E0,26,𐣠𐣡𐣢𐣣𐣤𐣥,NotoSansHatran,
Hebr,125,Hebrew,hébreu,אָלֶף־בֵּית עִבְרִי,abjad,rtl,-300,present,living,Armi,attested,Egyp,1.1,U+0591,134,אבגדהו,NotoSansHebrew,
Hira,410,Hiragana,hiragana,平仮名,syllabary,varies,800,present,living,Hani,attested,Hani,1.1,U+3041,381,あいうえおか,Noto Sans JP (Google Fonts subset),
Hluw,080,"Anatolian Hieroglyphs (Luwian Hieroglyphs, Hittite Hieroglyphs)","hiéroglyphes anatoliens (hiéroglyphes louvites, hiéroglyphes hittites)",,logographic,boustrophedon,-1400,-700,historical,,origin,Hluw,8.0,U+14400,583,𔐀𔐁𔐂𔐃𔐄𔐅,NotoSansAnatolianHieroglyphs,
Hmng,450,Pahawh Hmong,pahawh hmong,𖬖𖬰𖬝𖬵 𖬄𖬶𖬟 𖬌𖬣𖬵,alphabet,ltr,1959,present,living,Latn,stimulus,Egyp,7.0,U+16B00,127,𖬀𖬁𖬂𖬃𖬄𖬅,NotoSansPahawhHmong,
Hmnp,451,Nyiakeng Puachue Hmong,nyiakeng puachue hmong,𞄐𞄦𞄲𞄤𞄎𞄫𞄰𞄚𞄧𞄲𞄤𞄔𞄬𞄱,alphabet,ltr,1980,present,living,Latn,stimulus,Egyp,12.0,U+1E100,71,𞄀𞄁𞄂𞄃𞄄𞄅,NotoSerifNPHmong,
Hntl,504,Han (Traditional variant) with Latin (alias for Hant + Latn),han (variante traditionnelle) avec latin (alias pour Hant + Latn),,composite,varies,1900,present,living,Hani,composite,Hani,not encoded,,0,漢字ABCD,Noto Sans SC (Google Fonts subset),
Hrkt,412,Japanese syllabaries (alias for Hiragana + Katakana),syllabaires japonais (alias pour hiragana + katakana),仮名,composite,varies,800,present,living,Hani,composite,Hani,1.1,,0,あいうカキク,Noto Sans JP (Google Fonts subset),
Hung,176,Old Hungarian (Hungarian Runic),runes hongroises (ancien hongrois),𐲥𐳋𐳓𐳉𐳗-𐲘𐳀𐳎𐳀𐳢 𐲢𐳛𐳮𐳀𐳤,alphabet,rtl,900,present,revived,Orkh,contested,Egyp,8.0,U+10C80,108,𐲀𐲁𐲂𐲃𐲄𐲅,NotoSansOldHungarian,
Inds,610,Indus (Harappan),indus,,undeciphered,rtl,-2600,-1900,undeciphered,,origin,Inds,not encoded,,0,,,not encoded in Unicode
Ital,210,"Old Italic (Etruscan, Oscan, etc.)","ancien italique (étrusque, osque, etc.)",,alphabet,varies,-700,-100,historical,Grek,attested,Egyp,3.1,U+10300,39,𐌀𐌁𐌂𐌃𐌄𐌅,NotoSansOldItalic,
Jamo,284,Jamo (alias for Jamo subset of Hangul),jamo (alias pour le sous-ensemble jamo du hangûl),,variant,ltr,1443,present,living,Hang,variant,Egyp,1.1,,0,ᄀᄂᄃᄅᄆᄇ,Noto Sans KR (Google Fonts subset),
Java,361,Javanese,javanais,,abugida,ltr,1500,present,living,Kawi,attested,Egyp,5.2,U+A980,90,ꦄꦅꦆꦇꦈꦉ,NotoSansJavanese,
Jpan,413,Japanese (alias for Han + Hiragana + Katakana),japonais (alias pour han + hiragana + katakana),,composite,varies,800,present,living,Hani,composite,Hani,1.1,,0,日本語かなカ,Noto Sans JP (Google Fonts subset),
Jurc,510,Jurchen,jurchen,,logographic,ttb,1119,1500,historical,Kitl,stimulus,Hani,not encoded,,0,,,not encoded in Unicode
Kali,357,Kayah Li,kayah li,,abugida,ltr,1962,present,living,Mymr,attested,Egyp,5.1,U+A900,47,ꤊꤋꤌꤍꤎꤏ,NotoSansKayahLi,
Kana,411,Katakana,katakana,片仮名,syllabary,varies,800,present,living,Hani,attested,Hani,1.1,U+30A1,321,アイウエオカ,Noto Sans JP (Google Fonts subset),
Kawi,368,Kawi,kawi,,abugida,ltr,750,1500,historical,Gran,attested,Egyp,15.0,U+11F00,87,𑼂𑼄𑼅𑼆𑼇𑼈,NotoSansKawi,
Khar,305,Kharoshthi,kharochthî,,abugida,rtl,-400,300,historical,Armi,attested,Egyp,4.1,U+10A00,68,𐨀𐨐𐨑𐨒𐨓𐨕,NotoSansKharoshthi,
Khmr,355,Khmer,khmer,,abugida,ltr,611,present,living,Gran,attested,Egyp,3.0,U+1780,146,កខគឃងច,NotoSansKhmer,
Khoj,322,Khojki,khojkî,𑊻𑋧𑋂𑊺𑋢,abugida,ltr,1500,present,historical,Shrd,attested,Egyp,7.0,U+11200,65,𑈀𑈁𑈂𑈃𑈄𑈅,NotoSansKhojki,
Kitl,505,Khitan large script,grande écriture khitan,契丹大字,logographic,ttb,920,1200,undeciphered,Hani,stimulus,Hani,not encoded,,0,,,not encoded in Unicode
Kits,288,Khitan small script,petite écriture khitan,契丹小字,logographic,ttb,925,1200,undeciphered,Kitl,attested,Hani,13.0,U+16FE4,472,𘬀𘬁𘬂𘬃𘬄𘬅,NotoSerifKhitanSmallScript,
Knda,345,Kannada,kannara (canara),ಕನ್ನಡ ಲಿಪಿ,abugida,ltr,500,present,living,Brah,attested,Egyp,1.1,U+0C80,92,ಅಆಇಕಖಗ,NotoSansKannada,
Kore,287,Korean (alias for Hangul + Han),coréen (alias pour hangûl + han),국한문체,composite,varies,1443,present,living,Hani,composite,Hani,1.1,,0,한국어漢字書,Noto Sans KR (Google Fonts subset),
Kpel,436,Kpelle,kpèllé,,syllabary,ltr,1935,present,living,Vaii,stimulus,Egyp,not encoded,,0,,,not encoded in Unicode
Krai,396,Kirat Rai,kirat rai,,abugida,ltr,1990,present,living,Latn,stimulus,Egyp,16.0,U+16D40,58,,,"encoded in Unicode 16, no Noto face released"
Kthi,317,Kaithi,kaithî,𑂍𑂶𑂟𑂲,abugida,ltr,1550,1950,historical,Deva,attested,Egyp,5.2,U+11080,68,𑂃𑂄𑂅𑂆𑂇𑂈,NotoSansKaithi,
Lana,351,Tai Tham (Lanna),taï tham (lanna),อักษรธรรมล้านนา,abugida,ltr,1300,present,living,Mymr,attested,Egyp,5.2,U+1A20,127,ᨠᨡᨢᨣᨤᨥ,NotoSansTaiTham,
Laoo,356,Lao,laotien,ອັກສອນລາວ,abugida,ltr,1350,present,living,Khmr,attested,Egyp,1.1,U+0E81,83,ກຂຄງຈຊ,NotoSansLao,
Latf,217,Latin (Fraktur variant),latin (variante brisée),Fraktur,variant,ltr,1150,present,living,Latn,variant,Egyp,1.1,,0,ABCDEF,NotoSans,
Latg,216,Latin (Gaelic variant),latin (variante gaélique),,variant,ltr,700,present,living,Latn,variant,Egyp,1.1,,0,ABCDEF,NotoSans,
Latn,215,Latin,latin,,alphabet,ltr,-700,present,living,Ital,attested,Egyp,1.1,U+0041,1492,ABCDEF,NotoSans,
Leke,364,Leke,léké,,abugida,ltr,1830,present,living,Mymr,attested,Egyp,not encoded,,0,,,not encoded in Unicode
Lepc,335,Lepcha (Róng),lepcha (róng),ᰕᰧᰵᰶᰙᰳ,abugida,ltr,1700,present,living,Tibt,attested,Egyp,5.1,U+1C00,74,ᰀᰁᰂᰃᰄᰅ,NotoSansLepcha,
Limb,336,Limbu,limbou,ᤕᤰᤌᤢᤱ ᤐᤠᤴ,abugida,ltr,1700,present,living,Lepc,attested,Egyp,4.0,U+1900,68,ᤀᤁᤂᤃᤄᤅ,NotoSansLimbu,
Lina,400,Linear A,linéaire A,,undeciphered,ltr,-1800,-1450,undeciphered,,origin,Lina,7.0,U+10600,341,𐘀𐘁𐘂𐘃𐘄𐘅,NotoSansLinearA,
Linb,401,Linear B,linéaire B,,syllabary,ltr,-1450,-1200,historical,Lina,attested,Lina,4.0,U+10000,211,𐀀𐀁𐀂𐀃𐀄𐀅,NotoSansLinearB,
Lisu,399,Lisu (Fraser),lisu (Fraser),,alphabet,ltr,1915,present,living,Latn,attested,Egyp,5.2,U+A4D0,49,ꓐꓑꓒꓓꓔꓕ,NotoSansLisu,
Loma,437,Loma,loma,,syllabary,ltr,1930,present,living,Vaii,stimulus,Egyp,not encoded,,0,,,not encoded in Unicode
Lyci,202,Lycian,lycien,,alphabet,ltr,-500,-300,historical,Grek,attested,Egyp,5.1,U+10280,29,𐊀𐊁𐊂𐊃𐊄𐊅,NotoSansLycian,
Lydi,116,Lydian,lydien,,alphabet,rtl,-700,-300,historical,Grek,attested,Egyp,5.1,U+10920,27,𐤠𐤡𐤢𐤣𐤤𐤥,NotoSansLydian,
Mahj,314,Mahajani,mahâjanî,महाजनी,abugida,ltr,1600,1950,historical,Deva,attested,Egyp,7.0,U+11150,39,𑅐𑅑𑅒𑅓𑅔𑅕,NotoSansMahajani,
Maka,366,Makasar,makassar,,abugida,ltr,1600,1900,historical,Bugi,attested,Egyp,11.0,U+11EE0,25,𑻠𑻡𑻢𑻣𑻤𑻥,NotoSerifMakasar,
Mand,140,"Mandaic, Mandaean",mandéen,,abjad,rtl,200,present,living,Armi,attested,Egyp,6.0,U+0840,29,ࡀࡁࡂࡃࡄࡅ,NotoSansMandaic,
Mani,139,Manichaean,manichéen,,abjad,rtl,250,1000,historical,Palm,attested,Egyp,7.0,U+10AC0,51,𐫀𐫁𐫂𐫃𐫄𐫅,NotoSansManichaean,
Marc,332,Marchen,marchen,,abugida,ltr,1000,present,historical,Tibt,attested,Egyp,9.0,U+11C70,68,𑱲𑱳𑱴𑱵𑱶𑱷,NotoSansMarchen,
Maya,090,Mayan hieroglyphs,hiéroglyphes mayas,,logographic,ltr,-300,1600,historical,,origin,Maya,not encoded,,0,,,not encoded in Unicode
Medf,265,"Medefaidrin (Oberi Okaime, Oberi Ɔkaimɛ)",médéfaïdrine,𖹝𖹰𖹯𖹼𖹫 𖹚𖹬𖹾𖹠𖹯,alphabet,ltr,1930,present,living,Latn,stimulus,Egyp,11.0,U+16E40,91,𖹀𖹁𖹂𖹃𖹄𖹅,NotoSansMedefaidrin,
Mend,438,Mende Kikakui,mendé kikakui,,syllabary,rtl,1917,present,living,Vaii,stimulus,Egyp,7.0,U+1E800,213,𞠀𞠁𞠂𞠃𞠄𞠅,NotoSansMendeKikakui,
Merc,101,Meroitic Cursive,cursif méroïtique,,abugida,rtl,-300,400,historical,Egyd,attested,Egyp,6.1,U+109A0,90,𐦠𐦡𐦢𐦣𐦤𐦥,NotoSansMeroitic,
Mero,100,Meroitic Hieroglyphs,hiéroglyphes méroïtiques,,abugida,rtl,-300,400,historical,Egyp,attested,Egyp,6.1,U+10980,32,𐦀𐦁𐦂𐦃𐦄𐦅,NotoSansMeroitic,
Mlym,347,Malayalam,malayâlam,മലയാളലിപി,abugida,ltr,830,present,living,Gran,attested,Egyp,1.1,U+0D00,118,അആഇകഖഗ,NotoSansMalayalam,
Modi,324,"Modi, Moḍī",modî,,abugida,ltr,1200,present,historical,Deva,attested,Egyp,7.0,U+11600,79,𑘀𑘁𑘂𑘃𑘄𑘅,NotoSansModi,
Mong,145,Mongolian,mongol,ᠮᠣᠩᠭᠣᠯ ᠪᠢᠴᠢᠭ᠌,abjad,ttb,1204,present,living,Ougr,attested,Egyp,3.0,U+1800,168,ᠠᠡᠢᠣᠤᠥ,NotoSansMongolian,
Moon,218,"Moon (Moon code, Moon script, Moon type)",écriture Moon,,alphabet,boustrophedon,1845,present,living,Latn,attested,Egyp,not encoded,,0,,,not encoded in Unicode
Mroo,264,"Mro, Mru",mro,,alphabet,ltr,1980,present,living,Latn,stimulus,Egyp,7.0,U+16A40,43,𖩀𖩁𖩂𖩃𖩄𖩅,NotoSansMro,
Mtei,337,"Meitei Mayek (Meithei, Meetei)",meitei mayek,ꯃꯩꯇꯩ ꯃꯌꯦꯛ,abugida,ltr,1100,present,living,Brah,contested,Egyp,5.2,U+AAE0,79,ꫠꫡꫢꫣꫤꫥ,NotoSansMeeteiMayek,
Mult,323,Multani,multanî,ਮੁਲਤਾਨੀ ਲਿਪੀ,abugida,ltr,1750,1950,historical,Shrd,attested,Egyp,8.0,U+11280,38,𑊀𑊁𑊂𑊃𑊄𑊅,NotoSansMultani,
Mymr,350,Myanmar (Burmese),birman,မွန်မြန်မာအက္ခရာ,abugida,ltr,1000,present,living,Gran,attested,Egyp,3.0,U+1000,243,ကခဂဃငစ,NotoSansMyanmar,
Nagm,295,Nag Mundari,nag mundari,𞓗𞓕𞓨𞓚 𞓧𞓟𞓨𞓡𞓚,alphabet,ltr,1949,present,living,Latn,stimulus,Egyp,15.0,U+1E4D0,42,𞓐𞓑𞓒𞓓𞓔𞓕,NotoSansNagMundari,
Nand,311,Nandinagari,nandinâgarî,𑧁𑧞𑦿𑧒𑧁𑧑𑦰𑧈𑧓,abugida,ltr,1100,1800,historical,Deva,attested,Egyp,12.0,U+119A0,65,𑦠𑦡𑦢𑦣𑦤𑦥,NotoSansNandinagari,
Narb,106,Old North Arabian (Ancient North Arabian),nord-arabique,,abjad,varies,-800,400,historical,Psin,attested,Egyp,7.0,U+10A80,32,𐪀𐪁𐪂𐪃𐪄𐪅,NotoSansOldNorthArabian,
Nbat,159,Nabataean,nabatéen,,abjad,rtl,-200,400,historical,Armi,attested,Egyp,7.0,U+10880,40,𐢀𐢁𐢂𐢃𐢄𐢅,NotoSansNabataean,
Newa,333,"Newa, Newar, Newari, Nepāla lipi","néwa, néwar, néwari, nepāla lipi",𑐥𑑂𑐬𑐔𑐮𑐶𑐟 𑐣𑐾𑐥𑐵𑐮,abugida,ltr,1100,present,living,Sidd,attested,Egyp,9.0,U+11400,97,𑐀𑐁𑐂𑐃𑐄𑐅,NotoSansNewa,
Nkdb,085,"Naxi Dongba (na²¹ɕi³³ to³³ba²¹, Nakhi Tomba)",naxi dongba,,semasiographic,ltr,1200,present,living,,origin,Nkdb,not encoded,,0,,,not encoded in Unicode
Nkgb,420,"Naxi Geba (na²¹ɕi³³ gʌ²¹ba²¹, 'Na-'Khi ²Ggŏ-¹baw, Nakhi Geba)","naxi geba, nakhi geba",,syllabary,ltr,1600,present,living,Nkdb,attested,Nkdb,not encoded,,0,,,not encoded in Unicode
Nkoo,165,N’Ko,n’ko,ߒߞߏ,alphabet,rtl,1949,present,living,Arab,stimulus,Egyp,5.0,U+07C0,62,ߊߋߌߍߎߏ,NotoSansNKo,
Nshu,499,Nüshu,nüshu,女書,syllabary,ttb,1400,present,historical,Hani,attested,Hani,10.0,U+16FE1,397,𖿡𛅰𛅱𛅲𛅳𛅴,NotoSansNushu,
Ogam,212,Ogham,ogam,᚛ᚑᚌᚐᚋ᚜,alphabet,varies,350,600,historical,Latn,stimulus,Egyp,3.0,U+1680,29,ᚁᚂᚃᚄᚅᚆ,NotoSansOgham,
Olck,261,"Ol Chiki (Ol Cemet’, Ol, Santali)",ol tchiki,ᱚᱞ ᱪᱤᱠᱤ,alphabet,ltr,1925,present,living,Latn,stimulus,Egyp,5.1,U+1C50,48,ᱚᱛᱜᱝᱞᱟ,NotoSansOlChiki,
Onao,296,Ol Onal,ol onal,𞗘𞗪𞗢𞗑𞗜𞗥𞗰,alphabet,ltr,1981,present,living,Latn,stimulus,Egyp,16.0,U+1E5D0,44,,,"encoded in Unicode 16, no Noto face released"
